Institution,Location,Global_Region,World Rank,World Rank1,Global_Percentile(%),National Rank,Employability Rank,Research Rank,Score,Score_Normalized
University of Catania,Italy,Europe,524 Top 2.5%,524,2.5,21,1624.0,492.0,74.2,0.2367
University of Tennessee Health Science Center,USA,America,525 Top 2.5%,525,2.5,134,634.92,494.0,74.2,0.2367
Kansas State University,USA,America,526 Top 2.5%,526,2.5,135,479.0,511.0,74.2,0.2367
University of Tartu,Estonia,Europe,527 Top 2.5%,527,2.5,1,1149.03,496.0,74.2,0.2367
Baylor University,USA,America,528 Top 2.5%,528,2.5,136,419.0,514.0,74.2,0.2367
South China Normal University,China,Asia,529 Top 2.5%,529,2.5,85,1247.0,498.0,74.1,0.2337
Boston College,USA,America,530 Top 2.5%,530,2.5,137,99.0,645.0,74.1,0.2337
University of Ferrara,Italy,Europe,531 Top 2.5%,531,2.5,22,1386.85,499.0,74.1,0.2337
Hohai University,China,Asia,532 Top 2.5%,532,2.5,86,1315.0,500.0,74.1,0.2337
Mahidol University,Thailand,Asia,533 Top 2.5%,533,2.5,2,1700.0,501.0,74.1,0.2337
NOVA University of Lisbon,Portugal,Europe,534 Top 2.5%,534,2.5,4,1410.62,502.0,74.1,0.2337
ShanghaiTech University,China,Asia,535 Top 2.5%,535,2.5,87,1331.97,503.0,74.1,0.2337
Polytechnic University of Valencia,Spain,Europe,536 Top 2.5%,536,2.5,13,1317.0,504.0,74.1,0.2337
Flinders University,Australia,Oceania,537 Top 2.6%,537,2.6,22,1375.48,507.0,74.1,0.2337
University of Tromsø – The Arctic University of Norway,Norway,Europe,538 Top 2.6%,538,2.6,4,1637.0,508.0,74.1,0.2337
Tianjin Medical University,China,Asia,539 Top 2.6%,539,2.6,88,1555.37,509.0,74.0,0.2308
École normale supérieure de Lyon,France,Europe,540 Top 2.6%,540,2.6,26,635.35,544.0,74.0,0.2308
Lehigh University,USA,America,541 Top 2.6%,541,2.6,138,68.0,842.0,74.0,0.2308
South China Agricultural University,China,Asia,542 Top 2.6%,542,2.6,89,1723.0,510.0,74.0,0.2308
Central China Normal University,China,Asia,543 Top 2.6%,543,2.6,90,1205.0,512.0,74.0,0.2308
James Cook University,Australia,Oceania,544 Top 2.6%,544,2.6,23,1284.0,515.0,74.0,0.2308
University College Cork,Ireland,Europe,545 Top 2.6%,545,2.6,3,629.0,523.0,74.0,0.2308
University of Verona,Italy,Europe,546 Top 2.6%,546,2.6,23,1274.78,516.0,74.0,0.2308
University of Siena,Italy,Europe,547 Top 2.6%,547,2.6,24,1471.0,518.0,74.0,0.2308
Guangxi University,China,Asia,548 Top 2.6%,548,2.6,91,1712.0,519.0,74.0,0.2308
University of South Australia,Australia,Oceania,549 Top 2.6%,549,2.6,24,512.0,528.0,73.9,0.2278
University of Hull,United Kingdom,Europe,550 Top 2.6%,550,2.6,38,365.0,764.0,73.9,0.2278
Technical University of Darmstadt,Germany,Europe,551 Top 2.6%,551,2.6,34,426.0,537.0,73.9,0.2278
Auburn University,USA,America,552 Top 2.6%,552,2.6,139,290.0,553.0,73.9,0.2278
University of Hawaii at Manoa,USA,America,553 Top 2.6%,553,2.6,140,1283.0,520.0,73.9,0.2278
Okayama University,Japan,Asia,554 Top 2.6%,554,2.6,14,767.0,525.0,73.9,0.2278
University of Stuttgart,Germany,Europe,555 Top 2.6%,555,2.6,35,431.0,584.0,73.9,0.2278
Leibniz University Hannover,Germany,Europe,556 Top 2.6%,556,2.6,36,602.0,529.0,73.9,0.2278
University of Pretoria,South Africa,Africa,557 Top 2.6%,557,2.6,5,694.0,526.0,73.9,0.2278
Carleton University,Canada,America,558 Top 2.6%,558,2.6,20,1435.0,521.0,73.9,0.2278
Masaryk University,Czech Republic,Europe,559 Top 2.7%,559,2.7,2,1076.69,522.0,73.9,0.2278
University of Modena and Reggio Emilia,Italy,Europe,560 Top 2.7%,560,2.7,25,869.0,524.0,73.8,0.2249
Indian Institute of Technology Madras,India,Asia,561 Top 2.7%,561,2.7,3,172.0,589.0,73.8,0.2249
Indian Institute of Technology Bombay,India,Asia,562 Top 2.7%,562,2.7,4,278.0,560.0,73.8,0.2249
China University of Mining and Technology (Xuzhou),China,Asia,563 Top 2.7%,563,2.7,92,540.0,536.0,73.8,0.2249
Georgia State University,USA,America,564 Top 2.7%,564,2.7,141,794.0,531.0,73.8,0.2249
"China University of Geosciences, Beijing",China,Asia,565 Top 2.7%,565,2.7,93,1451.0,527.0,73.8,0.2249
Beijing University of Posts and Telecommunications,China,Asia,566 Top 2.7%,566,2.7,94,376.0,556.0,73.8,0.2249
Novosibirsk State University,Russia,Europe,567 Top 2.7%,567,2.7,6,1546.0,532.0,73.8,0.2249
National University of Defense Technology,China,Asia,568 Top 2.7%,568,2.7,95,1221.0,533.0,73.8,0.2249
University of Zaragoza,Spain,Europe,569 Top 2.7%,569,2.7,14,1170.0,534.0,73.8,0.2249
Polytechnic University of Madrid,Spain,Europe,570 Top 2.7%,570,2.7,15,516.0,546.0,73.8,0.2249
Nanjing University of Posts and Telecommunications,China,Asia,571 Top 2.7%,571,2.7,96,677.0,541.0,73.7,0.2219
Oklahoma State University,USA,America,572 Top 2.7%,572,2.7,142,544.0,550.0,73.7,0.2219
University of Bremen,Germany,Europe,573 Top 2.7%,573,2.7,37,1007.43,538.0,73.7,0.2219
Swansea University,United Kingdom,Europe,574 Top 2.7%,574,2.7,39,1393.0,539.0,73.7,0.2219
Clemson University,USA,America,575 Top 2.7%,575,2.7,143,889.0,543.0,73.7,0.2219
Technical University of Dortmund,Germany,Europe,576 Top 2.7%,576,2.7,38,927.33,542.0,73.7,0.2219
Wenzhou Medical University,China,Asia,577 Top 2.7%,577,2.7,97,777.65,545.0,73.7,0.2219
Saint Petersburg University,Russia,Europe,578 Top 2.7%,578,2.7,7,444.0,599.0,73.7,0.2219
Shaanxi Normal University,China,Asia,579 Top 2.7%,579,2.7,98,798.04,549.0,73.7,0.2219
Medical University of Graz,Austria,Europe,580 Top 2.8%,580,2.8,5,569.38,551.0,73.7,0.2219
Tehran University of Medical Sciences,Iran,Asia,581 Top 2.8%,581,2.8,3,620.78,552.0,73.6,0.2189
Indian Institute of Technology Delhi,India,Asia,582 Top 2.8%,582,2.8,5,162.0,632.0,73.6,0.2189
Medical University of Innsbruck,Austria,Europe,583 Top 2.8%,583,2.8,6,879.18,554.0,73.6,0.2189
Mayo Clinic College of Medicine and Science,USA,America,584 Top 2.8%,584,2.8,144,634.91,557.0,73.6,0.2189
University of Konstanz,Germany,Europe,585 Top 2.8%,585,2.8,39,1388.0,647.0,73.6,0.2189
Indiana University Indianapolis,USA,America,586 Top 2.8%,586,2.8,145,563.24,558.0,73.6,0.2189
University of Arkansas - Fayetteville,USA,America,587 Top 2.8%,587,2.8,146,350.0,588.0,73.6,0.2189
Rovira i Virgili University,Spain,Europe,588 Top 2.8%,588,2.8,16,1401.0,559.0,73.6,0.2189
Anhui University,China,Asia,589 Top 2.8%,589,2.8,99,1132.0,561.0,73.6,0.2189
University of Szeged,Hungary,Europe,590 Top 2.8%,590,2.8,2,259.65,814.0,73.6,0.2189
Bar-Ilan University,Israel,Asia,591 Top 2.8%,591,2.8,6,615.0,571.0,73.6,0.2189
Antioch College,USA,America,592 Top 2.8%,592,2.8,147,191.62,966.5,73.5,0.216
University of Oviedo,Spain,Europe,593 Top 2.8%,593,2.8,17,841.0,566.0,73.5,0.216
University of Rostock,Germany,Europe,594 Top 2.8%,594,2.8,40,1068.72,564.0,73.5,0.216
Illinois Institute of Technology,USA,America,595 Top 2.8%,595,2.8,148,184.0,855.0,73.5,0.216
Shandong University of Science and Technology,China,Asia,596 Top 2.8%,596,2.8,100,828.0,570.0,73.5,0.216
Nanjing Forestry University,China,Asia,597 Top 2.8%,597,2.8,101,907.28,563.0,73.5,0.216
China University of Petroleum (East China),China,Asia,598 Top 2.8%,598,2.8,102,578.0,577.0,73.5,0.216
Naval Medical University,China,Asia,599 Top 2.8%,599,2.8,103,832.09,567.0,73.5,0.216
Henan University,China,Asia,600 Top 2.8%,600,2.8,104,861.94,568.0,73.5,0.216
University of Aveiro,Portugal,Europe,601 Top 2.9%,601,2.9,5,748.98,569.0,73.5,0.216
Bocconi University,Italy,Europe,602 Top 2.9%,602,2.9,26,46.0,1068.0,73.5,0.216
Chiba University,Japan,Asia,603 Top 2.9%,603,2.9,15,901.18,572.0,73.5,0.216
"Northwest University, Xi'an",China,Asia,604 Top 2.9%,604,2.9,105,1068.0,574.0,73.4,0.213
University of Franche-Comté,France,Europe,605 Top 2.9%,605,2.9,27,958.36,573.0,73.4,0.213
Colorado School of Mines,USA,America,606 Top 2.9%,606,2.9,149,80.0,773.0,73.4,0.213
University of Johannesburg,South Africa,Africa,607 Top 2.9%,607,2.9,6,1082.0,575.0,73.4,0.213
Scuola Normale Superiore di Pisa,Italy,Europe,608 Top 2.9%,608,2.9,27,1077.0,702.0,73.4,0.213
Ningbo University,China,Asia,609 Top 2.9%,609,2.9,106,1225.0,576.0,73.4,0.213
Polytechnic University of Turin,Italy,Europe,610 Top 2.9%,610,2.9,28,903.0,580.0,73.4,0.213
University of Palermo,Italy,Europe,611 Top 2.9%,611,2.9,29,966.38,578.0,73.4,0.213
University of Brescia,Italy,Europe,612 Top 2.9%,612,2.9,30,1021.2,579.0,73.4,0.213
"Royal Holloway, University of London",United Kingdom,Europe,613 Top 2.9%,613,2.9,40,1197.0,664.0,73.4,0.213
King Fahd University of Petroleum and Minerals,Saudi Arabia,Asia,614 Top 2.9%,614,2.9,4,75.0,797.0,73.4,0.213
Hitotsubashi University,Japan,Asia,615 Top 2.9%,615,2.9,16,20.0,966.5,73.3,0.2101
University of Canterbury,New Zealand,Oceania,616 Top 2.9%,616,2.9,3,494.0,656.0,73.3,0.2101
Federal University of São Paulo,Brazil,America,617 Top 2.9%,617,2.9,7,1002.81,583.0,73.3,0.2101
University of St.Gallen,Switzerland,Europe,618 Top 2.9%,618,2.9,9,27.0,1579.0,73.3,0.2101
Sejong University,South Korea,Asia,619 Top 2.9%,619,2.9,14,913.85,585.0,73.3,0.2101
Chung-Ang University,South Korea,Asia,620 Top 2.9%,620,2.9,15,967.0,586.0,73.3,0.2101
Ewha Womans University,South Korea,Asia,621 Top 2.9%,621,2.9,16,987.18,587.0,73.3,0.2101
University of Sherbrooke,Canada,America,622 Top 2.9%,622,2.9,21,958.0,590.0,73.3,0.2101
Loughborough University,United Kingdom,Europe,623 Top 3%,623,3.0,41,1649.0,600.0,73.3,0.2101
Osaka Metropolitan University,Japan,Asia,624 Top 3%,624,3.0,17,437.0,612.0,73.3,0.2101
San Diego State University,USA,America,625 Top 3%,625,3.0,150,475.0,621.0,73.3,0.2101
National Technical University of Athens,Greece,Europe,626 Top 3%,626,3.0,3,765.0,593.0,73.2,0.2071
AGH University of Science and Technology,Poland,Europe,627 Top 3%,627,3.0,3,846.0,592.0,73.2,0.2071
Brunel University London,United Kingdom,Europe,628 Top 3%,628,3.0,42,723.0,594.0,73.2,0.2071
Concordia University,Canada,America,629 Top 3%,629,3.0,22,383.0,616.0,73.2,0.2071
Guangzhou University,China,Asia,630 Top 3%,630,3.0,107,941.0,591.0,73.2,0.2071
University of Burgundy,France,Europe,631 Top 3%,631,3.0,28,1688.0,617.0,73.2,0.2071
University of Jyväskylä,Finland,Europe,632 Top 3%,632,3.0,7,1631.0,595.0,73.2,0.2071
Palacký University Olomouc,Czech Republic,Europe,633 Top 3%,633,3.0,3,1083.36,596.0,73.2,0.2071
University of Salerno,Italy,Europe,634 Top 3%,634,3.0,31,1559.0,597.0,73.2,0.2071
University of Iceland,Iceland,Europe,635 Top 3%,635,3.0,1,1081.5,598.0,73.2,0.2071
Delhi University,India,Asia,636 Top 3%,636,3.0,6,165.0,681.0,73.2,0.2071
University of La Laguna,Spain,Europe,637 Top 3%,637,3.0,18,1088.48,601.0,73.2,0.2071
Chang Gung University,Taiwan,Asia,638 Top 3%,638,3.0,6,1238.6,602.0,73.1,0.2041
Shanxi University,China,Asia,639 Top 3%,639,3.0,108,1703.0,603.0,73.1,0.2041
Gustave Eiffel University,France,Europe,640 Top 3%,640,3.0,29,1431.18,605.0,73.1,0.2041
University of Minho,Portugal,Europe,641 Top 3%,641,3.0,6,1232.46,604.0,73.1,0.2041
University of Graz,Austria,Europe,642 Top 3%,642,3.0,7,1276.0,780.0,73.1,0.2041
Harbin Medical University,China,Asia,643 Top 3%,643,3.0,109,1575.99,606.0,73.1,0.2041
Tata Institute of Fundamental Research,India,Asia,644 Top 3.1%,644,3.1,7,1307.13,607.0,73.1,0.2041
University of Nebraska Medical Center,USA,America,645 Top 3.1%,645,3.1,151,804.83,608.0,73.1,0.2041
COMSATS University Islamabad,Pakistan,Asia,646 Top 3.1%,646,3.1,1,1087.31,609.0,73.1,0.2041
Shandong Normal University,China,Asia,647 Top 3.1%,647,3.1,110,1520.37,610.0,73.1,0.2041
University of Cagliari,Italy,Europe,648 Top 3.1%,648,3.1,32,1382.44,611.0,73.1,0.2041
University of Texas at Arlington,USA,America,649 Top 3.1%,649,3.1,152,785.0,619.0,73.1,0.2041
Joint Institute for Nuclear Research,Russia,Europe,650 Top 3.1%,650,3.1,8,1171.7,613.0,73.0,0.2012
Chongqing Medical University,China,Asia,651 Top 3.1%,651,3.1,111,1452.42,614.0,73.0,0.2012
Army Medical University,China,Asia,652 Top 3.1%,652,3.1,112,1434.5,615.0,73.0,0.2012
Jeonbuk National University,South Korea,Asia,653 Top 3.1%,653,3.1,17,1654.0,618.0,73.0,0.2012
Catholic University of Korea,South Korea,Asia,654 Top 3.1%,654,3.1,18,1341.55,620.0,73.0,0.2012
Beijing Forestry University,China,Asia,655 Top 3.1%,655,3.1,113,1393.79,622.0,73.0,0.2012
Northeast Normal University,China,Asia,656 Top 3.1%,656,3.1,114,1365.0,623.0,73.0,0.2012
Rouen Normandy University,France,Europe,657 Top 3.1%,657,3.1,30,1391.59,624.0,73.0,0.2012
Utah State University,USA,America,658 Top 3.1%,658,3.1,153,1075.0,628.0,73.0,0.2012
University of Campania Luigi Vanvitelli,Italy,Europe,659 Top 3.1%,659,3.1,33,1412.82,626.0,73.0,0.2012
Rensselaer Polytechnic Institute,USA,America,660 Top 3.1%,660,3.1,154,146.0,731.0,73.0,0.2012
Hacettepe University,Turkey,Asia,661 Top 3.1%,661,3.1,1,1034.95,627.0,73.0,0.2012
University of Jinan,China,Asia,662 Top 3.1%,662,3.1,115,1362.0,629.0,72.9,0.1982
Institut Mines-Télécom,France,Europe,663 Top 3.1%,663,3.1,31,1277.11,630.0,72.9,0.1982
Brigham Young University,USA,America,664 Top 3.1%,664,3.1,155,739.0,636.0,72.9,0.1982
"China Medical University, PRC",China,Asia,665 Top 3.1%,665,3.1,116,1360.1,631.0,72.9,0.1982
University of Caen Normandy,France,Europe,666 Top 3.2%,666,3.2,32,1278.72,633.0,72.9,0.1982
University of Wisconsin–Milwaukee,USA,America,667 Top 3.2%,667,3.2,156,486.0,657.0,72.9,0.1982
Oswaldo Cruz Foundation,Brazil,America,668 Top 3.2%,668,3.2,8,977.55,634.0,72.9,0.1982
"Institute of Cancer Research, University of London",United Kingdom,Europe,669 Top 3.2%,669,3.2,43,1235.66,642.0,72.9,0.1982
Semmelweis University,Hungary,Europe,670 Top 3.2%,670,3.2,3,910.85,635.0,72.9,0.1982
Memorial University of Newfoundland,Canada,America,671 Top 3.2%,671,3.2,23,900.0,638.0,72.9,0.1982
University of Málaga,Spain,Europe,672 Top 3.2%,672,3.2,19,1030.88,637.0,72.9,0.1982
Qingdao University of Science and Technology,China,Asia,673 Top 3.2%,673,3.2,117,1347.0,639.0,72.9,0.1982
Bielefeld University,Germany,Europe,674 Top 3.2%,674,3.2,41,1514.0,640.0,72.8,0.1953
University of Angers,France,Europe,675 Top 3.2%,675,3.2,33,1364.92,641.0,72.8,0.1953
Anhui Medical University,China,Asia,676 Top 3.2%,676,3.2,118,1443.65,643.0,72.8,0.1953
Hong Kong Baptist University,China,Asia,677 Top 3.2%,677,3.2,119,1616.0,644.0,72.8,0.1953
University of Bayreuth,Germany,Europe,678 Top 3.2%,678,3.2,42,1175.0,646.0,72.8,0.1953
Swarthmore College,USA,America,679 Top 3.2%,679,3.2,157,289.0,966.5,72.8,0.1953
University of Québec at Montreal,Canada,America,680 Top 3.2%,680,3.2,24,935.0,648.0,72.8,0.1953
Yokohama City University,Japan,Asia,681 Top 3.2%,681,3.2,18,202.0,716.0,72.8,0.1953
University of Fribourg,Switzerland,Europe,682 Top 3.2%,682,3.2,10,285.0,691.0,72.8,0.1953
National Central University,Taiwan,Asia,683 Top 3.2%,683,3.2,7,966.53,650.0,72.8,0.1953
University of Haifa,Israel,Asia,684 Top 3.2%,684,3.2,7,939.0,652.0,72.8,0.1953
National Research Nuclear University MEPhI,Russia,Europe,685 Top 3.2%,685,3.2,9,914.52,651.0,72.8,0.1953
Fujian Agriculture and Forestry University,China,Asia,686 Top 3.2%,686,3.2,120,1512.2,653.0,72.8,0.1953
University of Shanghai for Science and Technology,China,Asia,687 Top 3.3%,687,3.3,121,1587.97,654.0,72.7,0.1923
Harbin Engineering University,China,Asia,688 Top 3.3%,688,3.3,122,1745.0,655.0,72.7,0.1923
Indian Institute of Technology Kharagpur,India,Asia,689 Top 3.3%,689,3.3,8,549.0,672.0,72.7,0.1923
Saarland University,Germany,Europe,690 Top 3.3%,690,3.3,43,493.0,675.0,72.7,0.1923
Czech Technical University in Prague,Czech Republic,Europe,691 Top 3.3%,691,3.3,4,987.32,660.0,72.7,0.1923
Air Force Medical University,China,Asia,692 Top 3.3%,692,3.3,123,1478.52,658.0,72.7,0.1923
Yeungnam University,South Korea,Asia,693 Top 3.3%,693,3.3,19,424.0,680.0,72.7,0.1923
Kunming University of Science and Technology,China,Asia,694 Top 3.3%,694,3.3,124,1469.12,659.0,72.7,0.1923
University of Kent,United Kingdom,Europe,695 Top 3.3%,695,3.3,44,880.0,668.0,72.7,0.1923
Shandong First Medical University,China,Asia,696 Top 3.3%,696,3.3,125,1324.08,661.0,72.7,0.1923
Sharif University of Technology,Iran,Asia,697 Top 3.3%,697,3.3,4,989.61,663.0,72.7,0.1923
Konkuk University,South Korea,Asia,698 Top 3.3%,698,3.3,20,1209.0,667.0,72.7,0.1923
University of Texas Medical Branch,USA,America,699 Top 3.3%,699,3.3,158,938.66,662.0,72.6,0.1893
University of Udine,Italy,Europe,700 Top 3.3%,700,3.3,34,1430.0,665.0,72.6,0.1893
University of Western Brittany,France,Europe,701 Top 3.3%,701,3.3,34,1338.36,666.0,72.6,0.1893
Istanbul University,Turkey,Asia,702 Top 3.3%,702,3.3,2,1087.0,671.0,72.6,0.1893
Sciences Po,France,Europe,703 Top 3.3%,703,3.3,35,60.0,966.5,72.6,0.1893
China University of Petroleum-Beijing,China,Asia,704 Top 3.3%,704,3.3,126,676.0,673.0,72.6,0.1893
Chungnam National University,South Korea,Asia,705 Top 3.3%,705,3.3,21,1481.0,669.0,72.6,0.1893
"University of Nevada, Reno",USA,America,706 Top 3.3%,706,3.3,159,1299.0,670.0,72.6,0.1893
University of Galway,Ireland,Europe,707 Top 3.3%,707,3.3,4,1662.0,679.0,72.6,0.1893
University of New Hampshire,USA,America,708 Top 3.3%,708,3.3,160,464.0,692.0,72.6,0.1893
Middle East Technical University,Turkey,Asia,709 Top 3.4%,709,3.4,3,245.0,727.0,72.6,0.1893
University of Missouri-Kansas City,USA,America,710 Top 3.4%,710,3.4,161,497.0,688.0,72.6,0.1893
University of Poitiers,France,Europe,711 Top 3.4%,711,3.4,36,1010.61,678.0,72.6,0.1893
University of Cantabria,Spain,Europe,712 Top 3.4%,712,3.4,20,1633.0,674.0,72.5,0.1864
Binghamton University,USA,America,713 Top 3.4%,713,3.4,162,333.0,932.0,72.5,0.1864
Henan Normal University,China,Asia,714 Top 3.4%,714,3.4,127,985.7,676.0,72.5,0.1864
College of William & Mary,USA,America,715 Top 3.4%,715,3.4,163,114.0,849.0,72.5,0.1864
University of Eastern Piedmont,Italy,Europe,716 Top 3.4%,716,3.4,35,1154.5,677.0,72.5,0.1864
Ankara University,Turkey,Asia,717 Top 3.4%,717,3.4,4,938.0,682.0,72.5,0.1864
University of North Texas,USA,America,718 Top 3.4%,718,3.4,164,680.0,686.0,72.5,0.1864
Victoria University of Wellington,New Zealand,Oceania,719 Top 3.4%,719,3.4,4,861.0,685.0,72.5,0.1864
Taipei Medical University,Taiwan,Asia,720 Top 3.4%,720,3.4,8,910.48,683.0,72.5,0.1864
Mississippi State University,USA,America,721 Top 3.4%,721,3.4,165,429.0,711.0,72.5,0.1864
University of Texas at San Antonio,USA,America,722 Top 3.4%,722,3.4,166,686.71,684.0,72.5,0.1864
National Chung Hsing University,Taiwan,Asia,723 Top 3.4%,723,3.4,9,176.0,777.0,72.5,0.1864
China Pharmaceutical University,China,Asia,724 Top 3.4%,724,3.4,128,1089.0,687.0,72.5,0.1864
Yanshan University,China,Asia,725 Top 3.4%,725,3.4,129,1118.0,689.0,72.4,0.1834
Zhejiang Normal University,China,Asia,726 Top 3.4%,726,3.4,130,1163.62,690.0,72.4,0.1834
Federal University of Santa Catarina,Brazil,America,727 Top 3.4%,727,3.4,9,1314.0,693.0,72.4,0.1834
Inha University,South Korea,Asia,728 Top 3.4%,728,3.4,22,734.0,697.0,72.4,0.1834
Hainan University,China,Asia,729 Top 3.4%,729,3.4,131,1214.74,694.0,72.4,0.1834
National Polytechnic Institute,Mexico,America,730 Top 3.5%,730,3.5,2,1094.38,695.0,72.4,0.1834
University of Maine,USA,America,731 Top 3.5%,731,3.5,167,1137.0,957.0,72.4,0.1834
Institut national des sciences appliquées de Lyon,France,Europe,732 Top 3.5%,732,3.5,37,1140.0,696.0,72.4,0.1834
Tilburg University,Netherlands,Europe,733 Top 3.5%,733,3.5,13,463.0,718.0,72.4,0.1834
Loyola University Chicago,USA,America,734 Top 3.5%,734,3.5,168,1000.0,701.0,72.4,0.1834
Heriot-Watt University,United Kingdom,Europe,735 Top 3.5%,735,3.5,45,519.0,715.0,72.4,0.1834
Academy of Scientific & Innovative Research,India,Asia,736 Top 3.5%,736,3.5,9,992.59,698.0,72.4,0.1834
Roma Tre University,Italy,Europe,737 Top 3.5%,737,3.5,36,1010.36,699.0,72.4,0.1834
National Research University Higher School of Economics,Russia,Europe,738 Top 3.5%,738,3.5,10,1177.83,700.0,72.3,0.1805
Comenius University Bratislava,Slovak Republic,Europe,739 Top 3.5%,739,3.5,1,1183.39,703.0,72.3,0.1805
Ain Shams University,Egypt,Africa,740 Top 3.5%,740,3.5,2,1241.45,704.0,72.3,0.1805
Shinshu University,Japan,Asia,741 Top 3.5%,741,3.5,19,1604.0,705.0,72.3,0.1805
University of Salamanca,Spain,Europe,742 Top 3.5%,742,3.5,21,904.0,709.0,72.3,0.1805
Fujian Medical University,China,Asia,743 Top 3.5%,743,3.5,132,1586.78,706.0,72.3,0.1805
Yunnan University,China,Asia,744 Top 3.5%,744,3.5,133,1694.0,707.0,72.3,0.1805
Hangzhou Normal University,China,Asia,745 Top 3.5%,745,3.5,134,1680.0,708.0,72.3,0.1805
American University of Beirut,Lebanon,Asia,746 Top 3.5%,746,3.5,1,211.0,808.0,72.3,0.1805
University of Massachusetts Boston,USA,America,747 Top 3.5%,747,3.5,169,1335.0,875.0,72.3,0.1805
Vilnius University,Lithuania,Europe,748 Top 3.5%,748,3.5,1,1128.99,710.0,72.3,0.1805
Kanazawa University,Japan,Asia,749 Top 3.5%,749,3.5,20,638.0,725.0,72.3,0.1805
BOKU University,Austria,Europe,750 Top 3.5%,750,3.5,8,1113.91,712.0,72.3,0.1805
Otto von Guericke University Magdeburg,Germany,Europe,751 Top 3.5%,751,3.5,44,1410.0,714.0,72.3,0.1805
National University of La Plata,Argentina,America,752 Top 3.6%,752,3.6,2,1593.0,713.0,72.2,0.1775
Massey University,New Zealand,Oceania,753 Top 3.6%,753,3.6,5,882.0,721.0,72.2,0.1775
Warsaw University of Technology,Poland,Europe,754 Top 3.6%,754,3.6,4,856.0,726.0,72.2,0.1775
University of Plymouth,United Kingdom,Europe,755 Top 3.6%,755,3.6,46,1663.0,717.0,72.2,0.1775
Taiyuan University of Technology,China,Asia,756 Top 3.6%,756,3.6,135,1477.0,719.0,72.2,0.1775
University of Murcia,Spain,Europe,757 Top 3.6%,757,3.6,22,1074.32,720.0,72.2,0.1775
Ajou University,South Korea,Asia,758 Top 3.6%,758,3.6,23,1224.0,724.0,72.2,0.1775
Hunan Normal University,China,Asia,759 Top 3.6%,759,3.6,136,1192.76,723.0,72.2,0.1775
Haverford College,USA,America,760 Top 3.6%,760,3.6,170,979.0,966.5,72.2,0.1775
Northumbria University,United Kingdom,Europe,761 Top 3.6%,761,3.6,47,842.0,728.0,72.2,0.1775
Boğaziçi University,Turkey,Asia,762 Top 3.6%,762,3.6,5,428.0,747.0,72.2,0.1775
Macau University of Science and Technology,China,Asia,763 Top 3.6%,763,3.6,137,685.0,734.0,72.2,0.1775
University of Wyoming,USA,America,764 Top 3.6%,764,3.6,171,779.0,733.0,72.2,0.1775
Hebei University of Technology,China,Asia,765 Top 3.6%,765,3.6,138,1328.0,729.0,72.1,0.1746
Niigata University,Japan,Asia,766 Top 3.6%,766,3.6,21,795.0,736.0,72.1,0.1746
CINVESTAV,Mexico,America,767 Top 3.6%,767,3.6,3,904.97,730.0,72.1,0.1746
Tarbiat Modares University,Iran,Asia,768 Top 3.6%,768,3.6,5,879.0,732.0,72.1,0.1746
Central Party School of the Communist Party of China,China,Asia,769 Top 3.6%,769,3.6,139,21.0,966.5,72.1,0.1746
Nantong University,China,Asia,770 Top 3.6%,770,3.6,140,1105.56,735.0,72.1,0.1746
Qatar University,Qatar,Asia,771 Top 3.6%,771,3.6,1,983.0,738.0,72.1,0.1746
Cold Spring Harbor Laboratory,USA,America,772 Top 3.6%,772,3.6,172,184.37,1090.0,72.1,0.1746
Kumamoto University,Japan,Asia,773 Top 3.7%,773,3.7,22,810.0,742.0,72.1,0.1746
Toulouse INP,France,Europe,774 Top 3.7%,774,3.7,38,294.0,782.0,72.1,0.1746
Henryk Niewodniczański Institute of Nuclear Physics,Poland,Europe,775 Top 3.7%,775,3.7,5,857.51,737.0,72.1,0.1746
Örebro University,Sweden,Europe,776 Top 3.7%,776,3.7,12,1063.0,739.0,72.1,0.1746
National University of Colombia,Colombia,America,777 Top 3.7%,777,3.7,1,840.0,743.0,72.1,0.1746
Quaid-i-Azam University,Pakistan,Asia,778 Top 3.7%,778,3.7,2,1038.81,740.0,72.1,0.1746
University of Calabria,Italy,Europe,779 Top 3.7%,779,3.7,37,1008.62,741.0,72.0,0.1716
University of Essex,United Kingdom,Europe,780 Top 3.7%,780,3.7,48,647.0,753.0,72.0,0.1716
University of Arkansas for Medical Sciences,USA,America,781 Top 3.7%,781,3.7,173,1178.12,744.0,72.0,0.1716
"University of Science and Technology, Korea",South Korea,Asia,782 Top 3.7%,782,3.7,24,1274.23,745.0,72.0,0.1716
Federal University of Paraná,Brazil,America,783 Top 3.7%,783,3.7,10,1476.0,746.0,72.0,0.1716
Isfahan University of Technology,Iran,Asia,784 Top 3.7%,784,3.7,6,1038.54,748.0,72.0,0.1716
"University of Science, Malaysia",Malaysia,Asia,785 Top 3.7%,785,3.7,2,1098.08,749.0,72.0,0.1716
University of Alcalá,Spain,Europe,786 Top 3.7%,786,3.7,23,1534.0,750.0,72.0,0.1716
Shandong Agricultural University,China,Asia,787 Top 3.7%,787,3.7,141,1252.68,751.0,72.0,0.1716
Kitasato University,Japan,Asia,788 Top 3.7%,788,3.7,23,231.53,1038.0,72.0,0.1716
"University of Córdoba, Spain",Spain,Europe,789 Top 3.7%,789,3.7,24,1115.39,754.0,72.0,0.1716
